Zonal winds (U) derived from VIMS, ISS(CB), and CIRS observations
Latitude is planetocentric and wind & wind uncertainty is m/s 

VIMS measurements of zonal winds in 2015 
latitude  zonal-wind  uncertainty
 23.20     79.685       0.518
 23.40     78.537       0.618
 23.60     76.404       0.726
 23.80     76.596       0.777
 24.00     74.640       0.651
 24.20     74.319       0.504
 24.40     73.404       0.433
 24.60     72.201       0.402
 24.80     71.778       0.403
 25.00     71.880       0.404
 25.20     70.585       0.377
 25.40     70.173       0.416
 25.60     69.903       0.427
 25.80     68.954       0.355
 26.00     68.302       0.382
 26.20     66.900       0.440
 26.40     65.700       0.470
 26.60     64.083       0.414
 26.80     61.858       0.425
 27.00     60.394       0.490
 27.20     58.066       0.627
 27.40     55.651       0.910
 27.60     54.289       0.434
 27.80     53.372       0.421
 28.00     52.180       0.497
 28.20     50.995       0.547
 28.40     48.957       0.579
 28.60     47.712       0.570
 28.80     45.256       0.478
 29.00     42.820       0.563
 29.20     38.283       0.616
 29.40     34.962       0.688
 29.60     32.980       0.620
 29.80     28.214       0.637
 30.00     25.917       0.693
 30.20     18.535       1.210
 30.40     17.067       0.938
 30.60     13.568       0.929
 30.80      9.980       1.585
 31.00      6.538       1.139
 31.20      3.052       1.312
 31.40      0.245       1.547
 31.60     -4.975       1.790
 31.80    -10.754       2.607
 32.00    -15.835       2.825
 32.20    -16.647       2.483
 32.40    -15.911       2.095
 32.60    -19.050       2.792
 32.80    -20.946       3.173
 33.00    -21.597       3.238
 33.20    -21.284       3.300
 33.40    -19.182       3.356
 33.60    -16.033       3.611
 33.80    -11.317       4.165
 34.00     -7.554       4.392
 34.20     -6.649       3.640
 34.40     -5.938       3.061
 34.60     -6.321       3.466
 34.80     -4.959       3.727
 35.00      0.476       3.651
 35.20      3.345       3.391
 35.40      4.504       3.008

Extrapolated zonal winds from CIRS observations
latitude  zonal-wind 
 -5.00    471.734
 -4.00    474.745
 -3.00    480.429
 -2.00    477.317
 -1.00    465.867
  0.00    470.982
  1.00    480.754
  2.00    487.515
  3.00    492.177
  4.00    480.583
  5.00    481.201
  6.00    472.591
  7.00    458.312
  8.00    439.823
  9.00    412.038
 10.00    377.006
 11.00    348.980
 12.00    326.939
 13.00    296.007
 14.00    228.369
 15.00    237.553
 16.00    219.193
 17.00    207.838
 18.00    192.681
 19.00    175.053
 20.00    150.237
 21.00    127.470
 22.00    110.607
 23.00     98.857
 24.00     93.137
 25.00     90.377
 26.00     86.799
 27.00     78.891
 28.00     70.677
 29.00     61.317
 30.00     44.414
 31.00    -11.959
 32.00    -34.331
 33.00    -40.093
 34.00    -26.050
 35.00    -18.021
 36.00    -10.516
