Temporal variations of zonal winds (U) measured by ISS MT2/3 and CIRS 
Latitude is planetocentric and wind & uncertainty (error) unit is m/s

latitude  MT2/3(2004-09)  error MT2/3(2014)  error  CIRS(2004-09)  error  CIRS(2014)  error
 34.30     -17.100        4.300   -13.497     4.073    -3.178      6.795   -14.018     6.927
 34.40     -17.350        4.500   -12.858     4.057    -3.367      6.624   -13.694     6.848
 34.50     -17.600        4.700    -9.282     3.688    -3.555      6.453   -13.371     6.769
 34.60     -16.500        5.100    -6.919     3.610    -3.743      6.282   -13.047     6.690
 34.70     -16.850        5.500    -5.651     3.887    -3.932      6.111   -12.723     6.611
 34.80     -17.200        5.900    -2.826     4.270    -4.120      5.940   -12.399     6.532
 34.90     -16.100        5.400    -2.305     4.843    -4.308      5.769   -12.076     6.453
 35.00     -15.000        4.900     2.929     4.531    -4.497      5.598   -11.752     6.374
 35.10     -14.300        5.800     2.246     4.325    -4.120      5.579   -10.953     6.337
 35.20     -13.600        6.700     2.800     4.598    -3.743      5.559   -10.155     6.300
 35.30     -12.900        7.600     4.728     4.529    -3.367      5.539    -9.357     6.263
 35.40     -13.700        5.600     6.630     3.650    -2.990      5.519    -8.558     6.227
 35.50     -12.833        5.733     5.910     4.057    -2.614      5.500    -7.760     6.190
 35.60     -11.967        5.867     5.679     4.247    -2.237      5.480    -6.961     6.153
 35.70     -11.100        6.000     7.085     4.137    -1.860      5.460    -6.163     6.116
 35.80     -10.200        5.350     9.402     3.864    -1.484      5.441    -5.365     6.079
 35.90      -9.300        4.700    12.032     3.819    -1.107      5.421    -4.566     6.042
 36.00      -8.650        5.800    12.588     3.011    -0.730      5.401    -3.768     6.005
 36.10      -8.000        6.900    11.926     3.296     0.140      5.661    -2.750     6.175
 36.20      -5.200        4.500    12.504     3.600     1.010      5.922    -1.732     6.346
 36.30      -3.900        5.033    16.197     4.144     1.881      6.182    -0.715     6.516
 36.40      -2.600        5.567    20.427     5.168     2.751      6.443     0.303     6.687
 36.50      -1.300        6.100    25.268     5.076     3.622      6.703     1.321     6.857
 36.60       0.150        7.550    25.726     5.502     4.492      6.963     2.339     7.028
 36.70       1.600        9.000    22.994     5.310     5.362      7.224     3.356     7.198
 36.80       4.000        8.100    24.553     4.763     6.233      7.484     4.374     7.369
 36.90       5.000        8.500    23.618     4.281     7.103      7.744     5.392     7.539
 37.00       6.000        8.900    22.688     3.864     7.974      8.005     6.409     7.710
 37.10       7.500        8.200    25.343     4.539     9.598      8.151     8.205     7.604
 37.20       9.000        7.500    35.673     9.583    11.222      8.297    10.001     7.497
 37.30      10.500        6.800    40.029    11.472    12.846      8.443    11.796     7.391
 37.40      16.300        8.900    40.820    11.137    14.470      8.590    13.592     7.285
 37.50      16.600       10.800    40.520     9.703    16.094      8.736    15.388     7.178
 37.60      16.900       12.700    45.227    12.341    17.718      8.882    17.183     7.072
 37.70      18.900       11.400    47.335    12.887    19.342      9.028    18.979     6.966
 37.80      20.900       10.100    47.194    11.900    20.966      9.174    20.775     6.860
 37.90      22.900        8.800    54.072    12.397    22.590      9.321    22.570     6.753
 38.00      23.950       10.300    56.057    13.291    24.214      9.467    24.366     6.647
 38.10      25.000       11.800    53.881    13.628    26.566      9.299    27.173     6.488
 38.20      27.050       11.500    75.855    12.312    28.918      9.131    29.980     6.328
 38.30      29.100       11.200    79.372    10.973    31.271      8.963    32.788     6.169
 38.40      36.800       11.000    85.976     8.764    33.623      8.795    35.595     6.009
 38.50      37.633       12.867    91.214     7.057    35.975      8.627    38.402     5.850
 38.60      38.467       14.733    92.231     5.532    38.327      8.459    41.209     5.690
 38.70      39.300       16.600    91.928     4.267    40.680      8.291    44.016     5.531
 38.80      44.100       19.500    94.935     4.555    43.032      8.122    46.823     5.371
 38.90      46.450       19.650    97.956     5.304    45.384      7.954    49.631     5.212
 39.00      48.800       19.800   101.554     3.306    47.737      7.786    52.438     5.052
 39.10      54.200       17.850   104.209     2.296    50.483      7.523    55.661     5.137
 39.20      59.600       15.900   106.763     2.117    53.230      7.260    58.884     5.222
 39.30      64.333       15.500   109.422     2.390    55.976      6.997    62.107     5.306
 39.40      69.067       15.100   111.888     1.913    58.723      6.734    65.331     5.391
 39.50      73.800       14.700   115.021     2.490    61.470      6.471    68.554     5.476
 39.60      75.900       17.950   117.228     2.000    64.216      6.208    71.777     5.560
 39.70      78.000       21.200   119.630     1.183    66.963      5.945    75.000     5.645
 39.80      88.800       13.200   119.560     1.262    69.710      5.682    78.223     5.730
 39.90      91.167       13.033   120.339     1.170    72.456      5.419    81.446     5.814
 40.00      93.533       12.867   119.266     1.039    75.203      5.156    84.670     5.899
