betae (β_e) in 2009 and 2011 
Latitude is planetocentric and pressure unit is mbar
Unit of betae is 1e-12 1/(s*m) 
Data in each pressure level with varying latitude is saved 

Pressure level 508.1449 mbar
pressure latitude  betae(2009)  betae(2011)  
  508.14   80.00     -7.616   -11.296
  508.14   81.00     -5.666   -13.267
  508.14   82.00      3.193   -15.452
  508.14   83.00     12.357   -21.909
  508.14   84.00     20.262   -26.327
  508.14   85.00     21.905   -24.105
  508.14   86.00     20.452   -12.616
  508.14   87.00     19.165     0.825
  508.14   88.00     23.281    33.025
  508.14   89.00     25.917    46.000
  508.14   90.00      4.090     2.266

Pressure level 443.7832 mbar
pressure latitude  betae(2009)  betae(2011)  
  443.78  -90.00    -13.473   -46.000
  443.78  -89.00    -27.909   -29.711
  443.78  -88.00    -15.403   -14.231
  443.78  -87.00    -46.000   -46.000
  443.78  -86.00    -25.711   -15.533
  443.78  -85.00    -33.582   -22.672
  443.78  -84.00    -19.646    -6.292
  443.78  -83.00    -19.068   -10.378
  443.78  -82.00    -10.529    -5.499
  443.78  -81.00     -3.976    -0.884
  443.78  -80.00     -0.199     1.314
  443.78  -79.00      5.942     5.323
  443.78  -78.00     10.435     8.578
  443.78  -77.00     13.385    10.115
  443.78  -76.00     11.961     7.348
  443.78  -75.00      8.240     2.696
  443.78  -74.00      3.872     2.292
  443.78  -73.00      3.213     7.756
  443.78  -72.00      5.179    13.169
  443.78  -71.00     13.502    21.692
  443.78  -70.00     18.319    23.920
  443.78  -69.00      8.781    11.588
  443.78  -68.00      6.088     8.101
  443.78  -67.00      7.175     9.718
  443.78  -66.00      2.141     6.604
  443.78  -65.00      2.702    10.754
  443.78  -64.00      2.872    13.548
  443.78  -63.00      6.073    16.194
  443.78  -62.00      9.747    17.737
  443.78  -61.00      9.127    17.623
  443.78  -60.00      6.848    16.735
  443.78  -59.00      6.440    16.986
  443.78  -58.00      5.882    17.160
  443.78  -57.00     11.215    21.866
  443.78  -56.00     20.146    27.879
  443.78  -55.00     12.819    17.509
  443.78  -54.00      6.452     7.723
  443.78  -53.00      9.686     6.668
  443.78  -52.00      9.061     5.171
  443.78  -51.00      8.836     7.204
  443.78  -50.00      9.490    10.809
  443.78  -49.00      9.836    16.228
  443.78  -48.00      9.505    20.647
  443.78  -47.00      8.563    20.451
  443.78  -46.00      8.962    17.867
  443.78  -45.00     10.112    15.644
  443.78  -44.00     11.086    14.166
  443.78  -43.00     10.944    11.212
  443.78  -42.00      8.378     5.639
  443.78  -41.00      2.701    -1.885
  443.78  -40.00     -2.350    -7.463
  443.78  -39.00      0.058    -3.224
  443.78  -38.00     -1.382    -0.131
  443.78  -37.00     -1.162     4.062
  443.78  -36.00     -2.381     4.567
  443.78  -35.00     -2.170     4.104
  443.78  -34.00     -0.763     2.458
  443.78  -33.00      3.612     2.913
  443.78  -32.00      7.616     4.596
  443.78  -31.00     10.106     6.804
  443.78  -30.00      9.875     7.453
  443.78  -29.00      6.285     5.674
  443.78  -28.00      6.625     7.611
  443.78  -27.00      3.637     5.197
  443.78  -26.00     -1.835    -0.037
  443.78  -25.00     -1.029     0.615
  443.78  -24.00      3.085     4.084
  443.78  -23.00      5.782     6.421
  443.78  -22.00      7.288     8.204
  443.78  -21.00      6.237     7.724
  443.78  -20.00      6.579     8.263
  443.78  -19.00      6.479     7.643
  443.78  -18.00      9.066     9.283
  443.78  -17.00      8.569     7.728
  443.78  -16.00     10.209     8.753
  443.78  -15.00      6.729     5.335
  443.78  -14.00      6.462     5.371
  443.78  -13.00      5.416     5.000
  443.78  -12.00      6.614     7.127
  443.78  -11.00      6.904     7.968
  443.78  -10.00      5.420     6.521
  443.78   -9.00      3.635     4.222
  443.78   -8.00      3.456     2.890
  443.78   -7.00      0.828    -0.452
  443.78   -6.00     -0.522    -1.934
  443.78   -5.00     -3.524    -4.799
  443.78   -4.00     -5.915    -7.297
  443.78   -3.00     -6.011    -7.467
  443.78   -2.00     -0.804    -1.817
  443.78   -1.00      4.438     3.745
  443.78    0.00      7.235     7.012
  443.78    1.00      8.330     8.938
  443.78    2.00      1.990     1.829
  443.78    3.00     -3.021    -3.635
  443.78    4.00      0.431    -0.105
  443.78    5.00     -1.108    -1.812
  443.78    6.00      1.268     1.152
  443.78    7.00      5.312     5.896
  443.78    8.00      6.791     7.959
  443.78    9.00      7.171     8.259
  443.78   10.00      9.971     9.995
  443.78   11.00     12.890    10.989
  443.78   12.00     13.121     9.030
  443.78   13.00     18.316    12.506
  443.78   14.00     18.585    11.447
  443.78   15.00     16.246     8.083
  443.78   16.00     19.873    10.722
  443.78   17.00     18.530     7.354
  443.78   18.00     19.966     7.166
  443.78   19.00     19.208     6.545
  443.78   20.00     18.593     5.843
  443.78   21.00     18.771     4.258
  443.78   22.00     18.063     1.993
  443.78   23.00     16.368     0.670
  443.78   24.00     12.453    -0.066
  443.78   25.00      7.696    -1.093
  443.78   26.00      4.932    -2.163
  443.78   27.00      8.368     1.717
  443.78   28.00     11.590     4.908
  443.78   29.00     17.640     9.365
  443.78   30.00     27.485    15.127
  443.78   31.00     31.549    13.883
  443.78   32.00     31.166    11.021
  443.78   33.00     26.611     8.309
  443.78   34.00     18.160     4.889
  443.78   35.00      7.636     2.563
  443.78   36.00    -10.520    -2.576
  443.78   37.00    -36.452    -6.503
  443.78   38.00    -46.000    -7.023
  443.78   39.00    -44.926    -2.237
  443.78   40.00    -37.803     8.512
  443.78   41.00    -32.567    20.500
  443.78   42.00    -29.697    31.099
  443.78   43.00    -36.672    29.922
  443.78   44.00    -44.829    20.012
  443.78   45.00    -46.000     8.376
  443.78   46.00    -40.035     8.598
  443.78   47.00    -29.398     5.472
  443.78   48.00    -11.635    11.663
  443.78   49.00      2.887    17.009
  443.78   50.00     12.944    21.724
  443.78   51.00     14.553    20.391
  443.78   52.00      7.994    14.872
  443.78   53.00     -3.086     9.822
  443.78   54.00    -17.250     9.158
  443.78   55.00    -41.318     5.421
  443.78   56.00    -39.281    -7.239
  443.78   57.00    -42.938   -29.101
  443.78   58.00    -46.000   -45.278
  443.78   59.00    -46.000   -46.000
  443.78   60.00    -45.593   -42.107
  443.78   61.00    -41.441   -26.934
  443.78   62.00    -17.580    -3.842
  443.78   63.00     46.000    -9.212
  443.78   64.00     46.000   -46.000
  443.78   65.00     45.826   -46.000
  443.78   66.00     23.981   -46.000
  443.78   67.00      5.375   -46.000
  443.78   68.00      0.457   -46.000
  443.78   69.00      3.335    10.516
  443.78   70.00     12.420    44.742
  443.78   71.00     23.675    38.950
  443.78   72.00     35.235    25.604
  443.78   73.00     45.857    18.524
  443.78   74.00     46.000    18.233
  443.78   75.00     46.000    27.188
  443.78   76.00     46.000    29.765
  443.78   77.00     32.697    11.049
  443.78   78.00     13.448    -2.109
  443.78   79.00      2.211    -4.527
  443.78   80.00     -7.927   -11.953
  443.78   81.00     -6.018   -14.349
  443.78   82.00      3.392   -17.049
  443.78   83.00     13.454   -24.125
  443.78   84.00     22.098   -29.016
  443.78   85.00     23.946   -26.519
  443.78   86.00     22.347   -13.901
  443.78   87.00     20.957     0.805
  443.78   88.00     25.518    36.289
  443.78   89.00     28.448    46.000
  443.78   90.00      4.544     2.784

Pressure level 387.5681 mbar
pressure latitude  betae(2009)  betae(2011)  
  387.57  -90.00    -46.000   -46.000
  387.57  -89.00    -21.561   -26.726
  387.57  -88.00    -11.902   -12.019
  387.57  -87.00    -46.000   -46.000
  387.57  -86.00    -20.956    -9.948
