betae (β_e) in 2009 and 2011 
Latitude is planetocentric and pressure unit is mbar
Unit of betae is 1e-12 1/(s*m) 
Data in each pressure level with varying latitude is saved 

Pressure level 508.1449 mbar
pressure latitude  betae(2009)  betae(2011)  
  295.60  -81.00     -5.470     0.697
  295.60  -80.00     -5.844    -1.511
  295.60  -79.00     -3.427    -1.905
  295.60  -78.00     -1.249    -2.396
  295.60  -77.00      1.245    -1.540
  295.60  -76.00      1.739    -2.577
  295.60  -75.00      1.540    -4.288
  295.60  -74.00      1.377    -1.855
  295.60  -73.00      4.501     6.338
  295.60  -72.00      8.095    12.746
  295.60  -71.00     15.709    20.272
  295.60  -70.00     17.918    20.126
  295.60  -69.00      4.670     4.484
  295.60  -68.00     -0.337    -1.162
  295.60  -67.00      0.944     0.588
  295.60  -66.00     -2.683    -2.521
  295.60  -65.00     -0.310    -0.083
  295.60  -64.00      0.376     0.137
  295.60  -63.00      2.765     1.330
  295.60  -62.00      4.730     2.303
  295.60  -61.00      2.416     0.531
  295.60  -60.00     -0.689    -1.002
  295.60  -59.00     -0.492     0.836
  295.60  -58.00      0.929     3.842
  295.60  -57.00      9.818    13.930
  295.60  -56.00     23.384    27.531
  295.60  -55.00     18.355    21.517
  295.60  -54.00     10.658    12.004
  295.60  -53.00     10.695     9.620
  295.60  -52.00      6.200     3.915
  295.60  -51.00      2.311     0.554
  295.60  -50.00     -0.280    -0.977
  295.60  -49.00     -1.677    -0.263
  295.60  -48.00     -1.506     2.735
  295.60  -47.00     -0.315     5.748
  295.60  -46.00      3.284     9.372
  295.60  -45.00      8.300    13.253
  295.60  -44.00     12.943    16.157
  295.60  -43.00     15.951    16.512
  295.60  -42.00     15.369    13.294
  295.60  -41.00      9.088     5.407
  295.60  -40.00      1.423    -2.859
  295.60  -39.00      1.636    -1.680
  295.60  -38.00     -0.805    -1.493
  295.60  -37.00     -0.743     1.195
  295.60  -36.00     -2.196     1.233
  295.60  -35.00     -2.582     0.662
  295.60  -34.00     -2.157    -0.909
  295.60  -33.00      1.305     0.285
  295.60  -32.00      5.130     3.213
  295.60  -31.00      8.703     7.051
  295.60  -30.00     10.291     9.393
  295.60  -29.00      8.410     8.315
  295.60  -28.00      9.824     9.730
  295.60  -27.00      6.697     6.121
  295.60  -26.00     -0.173    -0.330
  295.60  -25.00     -1.380    -0.424
  295.60  -24.00      0.988     2.691
  295.60  -23.00      2.783     4.504
  295.60  -22.00      3.952     5.460
  295.60  -21.00      3.080     4.503
  295.60  -20.00      3.680     4.928
  295.60  -19.00      3.411     4.419
  295.60  -18.00      5.591     6.342
  295.60  -17.00      5.317     5.427
  295.60  -16.00      7.324     6.890
  295.60  -15.00      4.614     4.147
  295.60  -14.00      5.047     4.481
  295.60  -13.00      4.806     4.643
  295.60  -12.00      6.767     7.310
  295.60  -11.00      8.076     8.685
  295.60  -10.00      7.451     8.381
  295.60   -9.00      6.308     7.083
  295.60   -8.00      6.299     5.965
  295.60   -7.00      3.838     3.799
  295.60   -6.00      2.780     3.634
  295.60   -5.00      0.947     2.392
  295.60   -4.00     -0.204     0.696
  295.60   -3.00     -0.313    -0.758
  295.60   -2.00      2.886     1.497
  295.60   -1.00      5.449     3.057
  295.60    0.00      7.314     6.109
  295.60    1.00      9.807    11.811
  295.60    2.00      4.733     4.856
  295.60    3.00     -2.158    -2.768
  295.60    4.00      2.625     2.617
  295.60    5.00      1.765     1.149
  295.60    6.00      4.249     4.199
  295.60    7.00      8.279     8.518
  295.60    8.00      9.583    10.147
  295.60    9.00      9.013     9.316
  295.60   10.00     10.720     9.890
  295.60   11.00     11.132     9.881
  295.60   12.00      8.298     7.085
  295.60   13.00     10.552     9.461
  295.60   14.00      8.358     7.793
  295.60   15.00      4.022     3.213
  295.60   16.00      6.708     4.956
  295.60   17.00      5.221     2.334
  295.60   18.00      6.669     3.041
  295.60   19.00      6.265     2.864
  295.60   20.00      6.188     2.860
  295.60   21.00      6.388     2.384
  295.60   22.00      6.130     1.675
  295.60   23.00      5.884     2.035
  295.60   24.00      4.615     1.923
  295.60   25.00      3.490     1.652
  295.60   26.00      2.999     2.020
  295.60   27.00      6.624     6.431
  295.60   28.00      7.920     8.036
  295.60   29.00     10.190     9.498
  295.60   30.00     14.919    12.436
  295.60   31.00     12.162     8.134
  295.60   32.00      7.476     3.219
  295.60   33.00      3.930     0.567
  295.60   34.00      0.306    -1.360
  295.60   35.00     -1.092    -1.105
  295.60   36.00     -4.913    -3.251
  295.60   37.00     -9.971    -5.016
  295.60   38.00    -14.668    -4.173
  295.60   39.00    -15.815     1.839
  295.60   40.00    -11.950    11.887
  295.60   41.00     -4.706    20.784
  295.60   42.00      3.561    26.302
  295.60   43.00      2.059    20.309
  295.60   44.00     -3.381    10.297
  295.60   45.00     -9.054     1.340
  295.60   46.00     -5.179     3.631
  295.60   47.00     -8.368    -1.672
  295.60   48.00     -2.770     1.713
  295.60   49.00     -2.285     0.226
  295.60   50.00      0.228     0.780
  295.60   51.00      0.731    -0.452
  295.60   52.00      1.515    -0.315
  295.60   53.00      3.995     2.708
  295.60   54.00      6.702     7.899
  295.60   55.00      6.510    11.958
  295.60   56.00      3.972    13.389
  295.60   57.00     -2.999     8.462
  295.60   58.00     -8.417     2.747
  295.60   59.00     -3.201     5.975
  295.60   60.00      3.504    10.087
  295.60   61.00      9.347    12.783
  295.60   62.00     14.481    13.016
  295.60   63.00      9.127     1.852
  295.60   64.00     -2.382   -13.741
  295.60   65.00     -4.972   -17.514
  295.60   66.00    -10.551   -20.612
  295.60   67.00    -14.476   -18.673
  295.60   68.00    -11.088    -8.894
  295.60   69.00     -7.256    -1.236
  295.60   70.00     -2.436     2.747
  295.60   71.00     -0.294    -1.188
  295.60   72.00      3.866    -4.553
  295.60   73.00     11.678    -2.116
  295.60   74.00     18.125     3.466
  295.60   75.00     25.192    14.084
  295.60   76.00     26.033    19.294
  295.60   77.00      8.169     3.782
  295.60   78.00     -2.391    -5.453
  295.60   79.00     -1.518    -2.822
  295.60   80.00     -3.582    -5.951
  295.60   81.00      0.651    -5.952
  295.60   82.00      5.629    -5.132
  295.60   83.00      6.722    -5.167
  295.60   84.00      8.609    -0.796
  295.60   85.00      9.930     3.790
  295.60   86.00     11.812     7.346
  295.60   87.00     12.185     8.912
  295.60   88.00     17.214    10.851
  295.60   89.00     13.832    16.071
  295.60   90.00      0.547    -0.056

Pressure level 258.1457 mbar
pressure latitude  betae(2009)  betae(2011)  
  258.15  -90.00     -8.726    46.000
  258.15  -89.00     -7.714     7.800
  258.15  -88.00     -2.121     5.596
  258.15  -87.00     -0.379    11.122
  258.15  -86.00      2.059     0.156
  258.15  -85.00      1.552    -0.085
  258.15  -84.00      2.162     0.498
  258.15  -83.00     -5.803    -2.692
  258.15  -82.00     -7.004    -0.631
  258.15  -81.00     -6.213     0.968
  258.15  -80.00     -7.028    -1.051
  258.15  -79.00     -4.661    -1.471
  258.15  -78.00     -2.317    -2.351
  258.15  -77.00      0.327    -1.656
  258.15  -76.00      1.194    -2.425
  258.15  -75.00      1.535    -3.601
  258.15  -74.00      1.937    -1.358
  258.15  -73.00      5.390     6.177
  258.15  -72.00      8.881    11.931
  258.15  -71.00     16.008    18.901
  258.15  -70.00     17.696    18.690
  258.15  -69.00      4.197     3.631
  258.15  -68.00     -0.559    -1.224
  258.15  -67.00      1.223     1.185
  258.15  -66.00     -2.125    -1.753
  258.15  -65.00      0.122     0.335
  258.15  -64.00      0.446    -0.068
  258.15  -63.00      2.434     0.741
  258.15  -62.00      4.124     1.526
  258.15  -61.00      1.730    -0.400
  258.15  -60.00     -1.393    -2.066
  258.15  -59.00     -1.080    -0.436
  258.15  -58.00      0.633     2.456
  258.15  -57.00      9.863    12.741
  258.15  -56.00     23.604    26.724
  258.15  -55.00     18.532    20.989
  258.15  -54.00     10.773    11.980
  258.15  -53.00     10.591    10.209
  258.15  -52.00      5.715     4.556
  258.15  -51.00      1.676     0.851
  258.15  -50.00     -0.991    -1.216
  258.15  -49.00     -2.463    -1.455
  258.15  -48.00     -2.242     0.515
  258.15  -47.00     -1.116     3.004
  258.15  -46.00      2.424     6.881
  258.15  -45.00      7.605    11.272
  258.15  -44.00     12.461    14.760
  258.15  -43.00     15.773    16.179
  258.15  -42.00     15.377    14.043
  258.15  -41.00      9.087     6.943
  258.15  -40.00      1.758    -0.723
  258.15  -39.00      2.689     0.468
  258.15  -38.00      0.714     0.149
  258.15  -37.00      0.927     2.368
  258.15  -36.00     -0.722     1.996
  258.15  -35.00     -1.463     1.063
  258.15  -34.00     -1.262    -0.727
  258.15  -33.00      1.891     0.382
  258.15  -32.00      5.290     3.271
  258.15  -31.00      8.481     6.877
  258.15  -30.00      9.817     8.947
  258.15  -29.00      7.889     7.746
  258.15  -28.00      9.532     9.179
  258.15  -27.00      6.811     5.915
  258.15  -26.00      0.339     0.009
  258.15  -25.00     -0.858     0.194
  258.15  -24.00      1.188     3.138
  258.15  -23.00      2.701     4.630
  258.15  -22.00      3.616     5.257
  258.15  -21.00      2.673     4.054
  258.15  -20.00      3.293     4.317
  258.15  -19.00      2.899     3.741
  258.15  -18.00      4.853     5.694
  258.15  -17.00      4.543     5.008
  258.15  -16.00      6.480     6.570
  258.15  -15.00      3.811     3.857
  258.15  -14.00      4.435     4.239
  258.15  -13.00      4.449     4.592
  258.15  -12.00      6.577     7.224
  258.15  -11.00      8.073     8.461
  258.15  -10.00      7.406     8.078
  258.15   -9.00      6.113     6.571
  258.15   -8.00      6.103     5.387
  258.15   -7.00      3.676     3.671
  258.15   -6.00      2.620     3.837
  258.15   -5.00      1.046     2.907
  258.15   -4.00      0.293     1.394
  258.15   -3.00      0.416    -0.235
  258.15   -2.00      3.639     1.785
  258.15   -1.00      6.325     3.321
  258.15    0.00      7.986     6.499
  258.15    1.00      9.541    12.035
  258.15    2.00      4.720     5.179
  258.15    3.00     -2.595    -2.779
  258.15    4.00      1.892     2.392
  258.15    5.00      1.221     1.019
  258.15    6.00      3.639     3.923
  258.15    7.00      7.722     8.084
  258.15    8.00      9.251     9.737
  258.15    9.00      8.750     8.781
  258.15   10.00     10.568     9.243
  258.15   11.00     10.903     9.388
  258.15   12.00      7.901     6.733
  258.15   13.00      9.949     9.081
  258.15   14.00      7.887     7.730
  258.15   15.00      3.612     3.180
  258.15   16.00      6.213     4.742
  258.15   17.00      4.902     2.322
  258.15   18.00      6.218     2.969
  258.15   19.00      5.856     2.831
  258.15   20.00      5.997     3.294
  258.15   21.00      6.163     3.495
  258.15   22.00      5.736     3.392
  258.15   23.00      5.453     3.804
  258.15   24.00      4.380     2.906
  258.15   25.00      3.697     1.787
  258.15   26.00      3.357     1.563
  258.15   27.00      6.660     5.519
  258.15   28.00      7.611     6.987
  258.15   29.00      9.442     8.594
  258.15   30.00     13.792    12.063
  258.15   31.00     10.937     8.468
  258.15   32.00      6.411     3.972
  258.15   33.00      3.378     1.616
  258.15   34.00      0.314     0.066
  258.15   35.00     -0.476     0.631
  258.15   36.00     -3.266    -1.330
  258.15   37.00     -6.744    -3.444
  258.15   38.00     -9.462    -3.581
  258.15   39.00     -9.397     0.770
  258.15   40.00     -5.798     9.091
  258.15   41.00      0.327    17.195
  258.15   42.00      7.520    22.814
  258.15   43.00      5.425    17.605
  258.15   44.00     -0.100     8.847
  258.15   45.00     -5.908     0.659
  258.15   46.00     -2.512     3.211
  258.15   47.00     -6.769    -1.909
  258.15   48.00     -2.022     1.774
  258.15   49.00     -2.010     0.455
  258.15   50.00      0.758     1.234
  258.15   51.00      1.571    -0.184
  258.15   52.00      2.036    -0.526
  258.15   53.00      3.846     2.079
  258.15   54.00      6.421     7.070
  258.15   55.00      7.313    11.503
  258.15   56.00      7.022    14.033
  258.15   57.00      2.425    10.462
  258.15   58.00     -1.742     5.621
  258.15   59.00      3.032     8.793
  258.15   60.00      7.786    11.891
  258.15   61.00     10.707    13.429
  258.15   62.00     12.703    13.233
  258.15   63.00      5.416     2.979
  258.15   64.00     -5.925   -10.070
  258.15   65.00     -6.908   -10.553
  258.15   66.00    -10.824   -11.989
  258.15   67.00    -13.424   -10.686
  258.15   68.00     -9.626    -3.790
  258.15   69.00     -6.242    -0.595
  258.15   70.00     -2.558     0.315
  258.15   71.00     -2.310    -3.979
  258.15   72.00     -0.570    -6.890
  258.15   73.00      5.175    -3.984
  258.15   74.00     10.608     1.719
  258.15   75.00     18.409    11.812
  258.15   76.00     21.253    16.768
  258.15   77.00      5.985     1.721
  258.15   78.00     -1.928    -6.796
  258.15   79.00      1.363    -4.009
  258.15   80.00      0.360    -7.132
  258.15   81.00      3.451    -6.339
  258.15   82.00      5.729    -3.451
  258.15   83.00      3.839    -1.060
  258.15   84.00      4.031     3.204
  258.15   85.00      5.757     4.273
  258.15   86.00      9.303     3.408
  258.15   87.00     11.232     3.126
  258.15   88.00     17.424    -3.073
  258.15   89.00     13.617     5.002
  258.15   90.00     -0.093    -0.648

Pressure level 225.4481 mbar
pressure latitude  betae(2009)  betae(2011)  
  225.45  -90.00     46.000    46.000
  225.45  -89.00     -0.296    10.387
  225.45  -88.00      2.444     6.789
  225.45  -87.00     21.768    13.231
  225.45  -86.00      4.668     0.520
  225.45  -85.00      6.339     0.045
  225.45  -84.00      3.683     0.011
  225.45  -83.00     -4.100    -3.299
  225.45  -82.00     -5.946    -1.216
  225.45  -81.00     -5.474     0.725
  225.45  -80.00     -6.580    -0.566
  225.45  -79.00     -4.358    -0.216
  225.45  -78.00     -2.199    -0.812
  225.45  -77.00      0.188    -0.138
  225.45  -76.00      0.940    -0.736
  225.45  -75.00      1.330    -1.679
  225.45  -74.00      1.900    -0.290
  225.45  -73.00      5.332     5.527
  225.45  -72.00      8.548     9.709
  225.45  -71.00     15.292    15.714
  225.45  -70.00     16.817    15.853
  225.45  -69.00      3.616     2.227
  225.45  -68.00     -0.529    -1.295
  225.45  -67.00      1.844     1.859
  225.45  -66.00     -1.266    -0.848
  225.45  -65.00      0.769     1.024
  225.45  -64.00      0.704     0.272
  225.45  -63.00      2.355     1.058
  225.45  -62.00      3.906     2.022
  225.45  -61.00      1.721     0.286
  225.45  -60.00     -1.256    -1.431
  225.45  -59.00     -1.063    -0.478
  225.45  -58.00      0.352     1.350
  225.45  -57.00      9.072    10.571
  225.45  -56.00     22.154    23.692
  225.45  -55.00     16.828    17.930
  225.45  -54.00      9.582    10.144
  225.45  -53.00     10.024    10.109
  225.45  -52.00      5.610     5.714
  225.45  -51.00      2.203     2.586
  225.45  -50.00      0.049     0.592
  225.45  -49.00     -1.230    -0.301
  225.45  -48.00     -1.131     0.424
  225.45  -47.00     -0.508     1.748
  225.45  -46.00      2.379     4.821
  225.45  -45.00      7.037     8.639
  225.45  -44.00     11.536    12.027
  225.45  -43.00     14.668    14.182
  225.45  -42.00     14.104    13.213
  225.45  -41.00      7.812     7.489
  225.45  -40.00      1.194     1.198
  225.45  -39.00      3.284     3.039
  225.45  -38.00      2.110     2.590
  225.45  -37.00      2.723     4.431
  225.45  -36.00      1.107     3.530
  225.45  -35.00      0.159     2.155
  225.45  -34.00      0.244     0.196
  225.45  -33.00      3.096     1.132
  225.45  -32.00      5.892     3.664
  225.45  -31.00      8.339     6.544
  225.45  -30.00      8.956     7.827
  225.45  -29.00      6.574     6.311
  225.45  -28.00      8.199     7.963
  225.45  -27.00      5.980     5.383
  225.45  -26.00      0.376     0.295
  225.45  -25.00     -0.212     0.772
  225.45  -24.00      1.912     3.455
  225.45  -23.00      3.268     4.748
  225.45  -22.00      3.934     5.331
  225.45  -21.00      2.818     4.059
  225.45  -20.00      3.300     4.170
  225.45  -19.00      2.772     3.486
  225.45  -18.00      4.555     5.374
  225.45  -17.00      4.219     4.889
  225.45  -16.00      6.034     6.584
  225.45  -15.00      3.357     3.856
  225.45  -14.00      4.187     4.245
  225.45  -13.00      4.496     4.781
  225.45  -12.00      6.768     7.343
  225.45  -11.00      8.309     8.338
  225.45  -10.00      7.401     7.655
  225.45   -9.00      5.801     5.817
  225.45   -8.00      5.835     4.734
  225.45   -7.00      3.514     3.575
  225.45   -6.00      2.452     4.053
  225.45   -5.00      1.120     3.410
  225.45   -4.00      0.629     1.955
  225.45   -3.00      0.970     0.163
  225.45   -2.00      4.376     2.169
  225.45   -1.00      7.242     3.791
  225.45    0.00      8.770     7.172
  225.45    1.00      9.628    12.782
  225.45    2.00      4.838     5.783
  225.45    3.00     -3.127    -2.886
  225.45    4.00      1.295     2.251
  225.45    5.00      0.569     0.718
  225.45    6.00      2.855     3.503
  225.45    7.00      6.798     7.428
  225.45    8.00      8.492     9.099
  225.45    9.00      8.094     8.052
  225.45   10.00     10.113     8.460
  225.45   11.00     10.706     8.923
  225.45   12.00      7.925     6.539
  225.45   13.00     10.020     8.899
  225.45   14.00      8.402     7.997
  225.45   15.00      4.395     3.695
  225.45   16.00      6.918     5.283
  225.45   17.00      5.760     3.216
  225.45   18.00      6.815     3.804
  225.45   19.00      6.324     3.585
  225.45   20.00      6.502     4.367
  225.45   21.00      6.535     5.071
  225.45   22.00      5.899     5.251
  225.45   23.00      5.640     5.390
  225.45   24.00      4.806     3.746
  225.45   25.00      4.411     1.833
  225.45   26.00      3.966     0.674
  225.45   27.00      6.741     3.685
  225.45   28.00      7.211     4.809
  225.45   29.00      8.568     6.785
  225.45   30.00     12.714    11.332
  225.45   31.00     10.189     9.162
  225.45   32.00      6.350     5.610
  225.45   33.00      4.031     3.673
  225.45   34.00      1.423     2.224
  225.45   35.00      0.916     2.851
  225.45   36.00     -1.407     0.973
  225.45   37.00     -4.018    -1.409
  225.45   38.00     -5.503    -2.506
  225.45   39.00     -4.978    -0.292
  225.45   40.00     -2.319     5.495
  225.45   41.00      2.033    12.054
  225.45   42.00      7.733    17.766
  225.45   43.00      5.375    14.181
  225.45   44.00      0.444     7.544
  225.45   45.00     -4.726     0.662
  225.45   46.00     -0.999     3.680
  225.45   47.00     -5.376    -0.972
  225.45   48.00     -0.688     3.277
  225.45   49.00     -0.336     2.545
  225.45   50.00      2.940     3.826
  225.45   51.00      3.711     2.185
  225.45   52.00      3.071     0.809
  225.45   53.00      3.207     1.953
  225.45   54.00      4.888     5.627
  225.45   55.00      6.438     9.425
  225.45   56.00      8.154    12.167
  225.45   57.00      5.567     9.288
  225.45   58.00      1.890     4.819
  225.45   59.00      5.337     7.666
  225.45   60.00      7.789    10.095
  225.45   61.00      8.533    11.440
  225.45   62.00      8.930    12.125
  225.45   63.00      1.662     4.162
  225.45   64.00     -7.503    -5.411
  225.45   65.00     -5.505    -2.986
  225.45   66.00     -7.155    -3.980
  225.45   67.00     -8.543    -4.575
  225.45   68.00     -4.969    -0.910
  225.45   69.00     -3.035    -0.698
  225.45   70.00     -1.345    -1.202
  225.45   71.00     -3.094    -5.278
  225.45   72.00     -3.482    -7.936
  225.45   73.00     -0.194    -5.263
  225.45   74.00      3.173     0.039
  225.45   75.00     10.774     9.772
  225.45   76.00     15.494    14.692
  225.45   77.00      3.485     0.142
  225.45   78.00     -1.230    -7.398
  225.45   79.00      4.495    -4.085
  225.45   80.00      4.060    -6.798
  225.45   81.00      5.616    -4.614
  225.45   82.00      4.940     0.449
  225.45   83.00     -0.368     3.834
  225.45   84.00     -2.775     5.452
  225.45   85.00     -1.859     1.286
  225.45   86.00      2.630    -4.823
  225.45   87.00      6.988    -8.041
  225.45   88.00     14.688   -24.799
  225.45   89.00     12.516   -21.605
  225.45   90.00     -0.418    -1.418

Pressure level 196.8947 mbar
pressure latitude  betae(2009)  betae(2011)  
  196.89  -90.00     46.000    46.000
  196.89  -89.00      7.765    13.308
  196.89  -88.00      7.514     8.086
  196.89  -87.00     21.813     9.843
  196.89  -86.00      6.061     1.215
  196.89  -85.00      6.697    -0.205
  196.89  -84.00      4.223    -0.293
  196.89  -83.00     -2.744    -4.326
  196.89  -82.00     -3.878    -2.449
  196.89  -81.00     -3.305    -0.154
  196.89  -80.00     -4.670    -0.505
  196.89  -79.00     -2.953     1.128
  196.89  -78.00     -1.556     1.519
  196.89  -77.00      0.080     2.539
  196.89  -76.00      0.216     2.205
  196.89  -75.00      0.287     1.413
  196.89  -74.00      0.766     1.258
  196.89  -73.00      4.071     4.038
  196.89  -72.00      7.087     5.634
  196.89  -71.00     13.697    10.551
  196.89  -70.00     15.480    11.683
  196.89  -69.00      2.957     0.111
  196.89  -68.00     -0.428    -1.892
  196.89  -67.00      2.524     1.893
  196.89  -66.00     -0.266    -0.574
  196.89  -65.00      1.729     1.202
  196.89  -64.00      1.455     0.512
  196.89  -63.00      2.891     1.804
  196.89  -62.00      4.381     3.458
  196.89  -61.00      2.537     2.286
  196.89  -60.00     -0.216     0.657
  196.89  -59.00     -0.485     0.627
  196.89  -58.00     -0.142     0.452
  196.89  -57.00      7.115     7.357
  196.89  -56.00     18.953    18.809
  196.89  -55.00     13.587    13.201
  196.89  -54.00      7.495     7.282
  196.89  -53.00      9.222     9.533
  196.89  -52.00      5.958     7.026
  196.89  -51.00      3.666     5.063
  196.89  -50.00      2.400     3.688
  196.89  -49.00      1.570     2.733
  196.89  -48.00      1.483     2.431
  196.89  -47.00      1.311     2.185
  196.89  -46.00      2.995     3.435
  196.89  -45.00      6.385     5.653
  196.89  -44.00     10.020     8.449
  196.89  -43.00     12.737    11.203
  196.89  -42.00     12.000    11.510
  196.89  -41.00      5.920     7.359
  196.89  -40.00      0.198     2.594
  196.89  -39.00      3.432     5.355
  196.89  -38.00      3.097     5.109
  196.89  -37.00      4.308     6.785
  196.89  -36.00      3.052     5.485
  196.89  -35.00      2.146     3.788
  196.89  -34.00      2.184     1.829
  196.89  -33.00      4.666     2.563
  196.89  -32.00      6.608     4.409
  196.89  -31.00      7.962     6.118
  196.89  -30.00      7.525     6.209
  196.89  -29.00      4.487     4.253
  196.89  -28.00      6.017     6.281
  196.89  -27.00      4.441     4.560
  196.89  -26.00      0.014     0.329
  196.89  -25.00      0.453     1.062
  196.89  -24.00      3.010     3.557
  196.89  -23.00      4.417     4.908
  196.89  -22.00      4.967     5.784
  196.89  -21.00      3.691     4.694
  196.89  -20.00      3.947     4.718
  196.89  -19.00      3.329     3.888
  196.89  -18.00      5.020     5.583
  196.89  -17.00      4.653     5.182
  196.89  -16.00      6.235     6.989
  196.89  -15.00      3.411     4.176
  196.89  -14.00      4.326     4.442
  196.89  -13.00      4.863     5.051
  196.89  -12.00      7.187     7.469
  196.89  -11.00      8.580     8.116
  196.89  -10.00      7.251     7.003
  196.89   -9.00      5.252     4.884
  196.89   -8.00      5.395     4.113
  196.89   -7.00      3.261     3.552
  196.89   -6.00      2.245     4.331
  196.89   -5.00      1.220     4.013
  196.89   -4.00      0.846     2.432
  196.89   -3.00      1.300     0.394
  196.89   -2.00      4.977     2.556
  196.89   -1.00      7.978     4.201
  196.89    0.00      9.610     8.048
  196.89    1.00     10.431    14.560
  196.89    2.00      5.221     6.745
  196.89    3.00     -3.748    -3.265
  196.89    4.00      0.996     2.275
  196.89    5.00     -0.084     0.218
  196.89    6.00      2.037     3.016
  196.89    7.00      5.577     6.631
  196.89    8.00      7.236     8.264
  196.89    9.00      6.858     7.089
  196.89   10.00      9.139     7.476
  196.89   11.00     10.377     8.416
  196.89   12.00      8.324     6.505
  196.89   13.00     10.813     9.009
  196.89   14.00      9.901     8.700
  196.89   15.00      6.226     4.799
  196.89   16.00      8.526     6.508
  196.89   17.00      7.352     4.896
  196.89   18.00      7.981     5.474
  196.89   19.00      7.134     4.996
  196.89   20.00      7.054     5.750
  196.89   21.00      6.826     6.559
  196.89   22.00      5.992     6.559
  196.89   23.00      5.879     6.279
  196.89   24.00      5.413     4.305
  196.89   25.00      5.222     2.070
  196.89   26.00      4.515     0.118
  196.89   27.00      6.709     2.052
  196.89   28.00      6.628     2.555
  196.89   29.00      7.490     4.733
  196.89   30.00     11.472    10.399
  196.89   31.00      9.386     9.875
  196.89   32.00      6.414     7.515
  196.89   33.00      4.826     5.937
  196.89   34.00      2.630     4.243
  196.89   35.00      2.344     4.743
  196.89   36.00      0.251     2.968
  196.89   37.00     -1.805     0.604
  196.89   38.00     -2.451    -1.066
  196.89   39.00     -1.568    -0.626
  196.89   40.00      0.488     2.652
  196.89   41.00      3.238     7.097
  196.89   42.00      7.281    12.362
  196.89   43.00      4.513    10.461
  196.89   44.00      0.236     6.381
  196.89   45.00     -3.978     1.305
  196.89   46.00      0.505     5.105
  196.89   47.00     -3.518     1.024
  196.89   48.00      1.333     5.636
  196.89   49.00      2.023     5.281
  196.89   50.00      5.358     6.827
  196.89   51.00      5.640     4.977
  196.89   52.00      3.856     2.601
  196.89   53.00      2.465     2.138
  196.89   54.00      3.216     4.203
  196.89   55.00      5.179     6.830
  196.89   56.00      8.441     9.085
  196.89   57.00      7.086     6.206
  196.89   58.00      3.132     1.508
  196.89   59.00      5.024     3.610
  196.89   60.00      5.743     5.472
  196.89   61.00      5.473     7.210
  196.89   62.00      5.473     9.899
  196.89   63.00     -0.985     5.741
  196.89   64.00     -7.201     0.662
  196.89   65.00     -1.827     5.453
  196.89   66.00     -1.516     3.582
  196.89   67.00     -2.325     0.100
  196.89   68.00      0.335     0.376
  196.89   69.00      0.230    -1.618
  196.89   70.00     -0.257    -2.680
  196.89   71.00     -3.609    -6.277
  196.89   72.00     -5.233    -8.805
  196.89   73.00     -3.814    -6.928
  196.89   74.00     -2.653    -2.537
  196.89   75.00      3.834     6.928
  196.89   76.00      9.512    12.331
  196.89   77.00      0.282    -0.978
  196.89   78.00     -1.215    -6.657
  196.89   79.00      6.787    -2.102
  196.89   80.00      6.748    -4.008
  196.89   81.00      7.044    -0.262
  196.89   82.00      3.988     6.139
  196.89   83.00     -4.269     8.400
  196.89   84.00    -10.017     5.734
  196.89   85.00    -12.137    -3.852
  196.89   86.00     -9.454   -15.576
  196.89   87.00     -3.937   -24.304
  196.89   88.00      3.443   -46.000
  196.89   89.00      4.439   -46.000
  196.89   90.00     -0.583    -3.576

Pressure level 171.9485 mbar
pressure latitude  betae(2009)  betae(2011)  
  171.95  -90.00    -46.000   -46.000
  171.95  -89.00     14.301    15.145
  171.95  -88.00     11.605     8.588
  171.95  -87.00      3.409    -6.401
  171.95  -86.00      6.608     2.205
  171.95  -85.00      3.575    -1.634
  171.95  -84.00      4.221    -0.258
  171.95  -83.00     -1.933    -5.849
  171.95  -82.00     -1.468    -4.387
  171.95  -81.00     -0.394    -1.855
  171.95  -80.00     -1.882    -1.284
  171.95  -79.00     -0.975     1.745
  171.95  -78.00     -0.824     3.609
  171.95  -77.00     -0.325     5.332
  171.95  -76.00     -1.134     5.292
  171.95  -75.00     -1.644     4.516
  171.95  -74.00     -1.371     2.426
  171.95  -73.00      1.971     1.573
  171.95  -72.00      5.104     0.582
  171.95  -71.00     11.999     5.160
  171.95  -70.00     14.332     7.873
  171.95  -69.00      2.546    -1.733
  171.95  -68.00     -0.278    -2.703
  171.95  -67.00      3.052     1.268
  171.95  -66.00      0.609    -1.166
  171.95  -65.00      2.843     0.655
  171.95  -64.00      2.681     0.443
  171.95  -63.00      4.056     2.566
  171.95  -62.00      5.498     5.124
  171.95  -61.00      3.946     4.601
  171.95  -60.00      1.406     3.147
  171.95  -59.00      0.453     2.283
  171.95  -58.00     -0.837    -0.010
  171.95  -57.00      4.372     4.257
  171.95  -56.00     14.952    14.122
  171.95  -55.00     10.062     9.035
  171.95  -54.00      5.409     4.881
  171.95  -53.00      8.513     8.925
  171.95  -52.00      6.574     7.963
  171.95  -51.00      5.478     7.130
  171.95  -50.00      5.252     6.654
  171.95  -49.00      5.174     6.330
  171.95  -48.00      5.058     5.748
  171.95  -47.00      3.984     4.099
  171.95  -46.00      3.974     2.945
  171.95  -45.00      5.401     2.849
  171.95  -44.00      7.923     4.894
  171.95  -43.00     10.448     8.296
