Brunt-Väisälä frequency (N), vertical shear of zonal wind (dUdz), and Richardson number (Ri) 
Latitude is planetocentric and pressure unit is mbar
N unit is 1e-3 1/s, dUdz unit is 1e-3 1/s, and Ri is unitless 
Data in each pressure level with varying latitude is saved 

Pressure level 508.1449 mbar
pressure latitude       N       dUdz       Ri
  508.14   47.00      3.201    -0.028    73.723
  508.14   48.00      3.130    -0.017    70.509
  508.14   49.00      3.036    -0.009    66.358
  508.14   50.00      2.926    -0.009    61.633
  508.14   51.00      2.806    -0.014    56.672
  508.14   52.00      2.682    -0.022    51.772
  508.14   53.00      2.564    -0.032    47.324
  508.14   54.00      2.452    -0.043    43.280
  508.14   55.00      2.379    -0.049    40.732
  508.14   56.00      2.347    -0.048    39.650
  508.14   57.00      2.358    -0.038    40.010
  508.14   58.00      2.393    -0.027    41.208
  508.14   59.00      2.352    -0.020    39.822
  508.14   60.00      2.221    -0.011    35.509
  508.14   61.00      2.064     0.002    30.653
  508.14   62.00      1.976     0.019    28.094
  508.14   63.00      2.042     0.041    30.006
  508.14   64.00      2.241     0.057    36.154
  508.14   65.00      2.499     0.059    44.954
  508.14   66.00      2.785     0.051    55.809
  508.14   67.00      3.034     0.038    66.250
  508.14   68.00      3.183     0.019    72.922
  508.14   69.00      3.282     0.005    77.514
  508.14   70.00      3.334     0.002    80.016
  508.14   71.00      3.396     0.012    83.013
  508.14   72.00      3.481     0.026    87.218
  508.14   73.00      3.584     0.035    92.471
  508.14   74.00      3.691     0.037    98.053
  508.14   75.00      3.799     0.031   103.874
  508.14   76.00      3.897     0.027   109.299
  508.14   77.00      3.991     0.025   114.663
  508.14   78.00      4.079     0.018   119.761
  508.14   79.00      4.083     0.007   119.957
  508.14   80.00      3.960     0.003   112.862
  508.14   81.00      3.777     0.002   102.689
  508.14   82.00      3.568     0.004    91.600
  508.14   83.00      3.439     0.007    85.128
  508.14   84.00      3.404     0.010    83.371
  508.14   85.00      3.403     0.012    83.347
  508.14   86.00      3.412     0.012    83.790
  508.14   87.00      3.420     0.012    84.160
  508.14   88.00      3.421     0.017    84.253
  508.14   89.00      3.428     0.017    84.573
