Brunt-Väisälä frequency (N), vertical shear of zonal wind (dUdz), and Richardson number (Ri) 
Latitude is planetocentric and pressure unit is mbar
N unit is 1e-3 1/s, dUdz unit is 1e-3 1/s, and Ri is unitless 
Data in each pressure level with varying latitude is saved 

Pressure level 508.1449 mbar
pressure latitude       N       dUdz       Ri
  338.47  -52.00      8.834     0.076   561.604
  338.47  -51.00      8.784     0.089   555.321
  338.47  -50.00      8.770     0.106   553.587
  338.47  -49.00      8.773     0.107   553.933
  338.47  -48.00      8.790     0.081   556.014
  338.47  -47.00      8.799     0.043   557.220
  338.47  -46.00      8.778     0.003   554.618
  338.47  -45.00      8.722    -0.035   547.503
  338.47  -44.00      8.635    -0.064   536.597
  338.47  -43.00      8.531    -0.072   523.740
  338.47  -42.00      8.422    -0.060   510.523
  338.47  -41.00      8.319    -0.032   498.123
  338.47  -40.00      8.238     0.009   488.431
  338.47  -39.00      8.200     0.036   483.905
  338.47  -38.00      8.199     0.037   483.760
  338.47  -37.00      8.216     0.025   485.875
  338.47  -36.00      8.251     0.023   490.020
  338.47  -35.00      8.290     0.038   494.607
  338.47  -34.00      8.324     0.061   498.689
  338.47  -33.00      8.346     0.074   501.348
  338.47  -32.00      8.340     0.068   500.630
  338.47  -31.00      8.294     0.039   495.141
  338.47  -30.00      8.229    -0.008   487.397
  338.47  -29.00      8.149    -0.045   477.897
  338.47  -28.00      8.066    -0.067   468.204
  338.47  -27.00      7.999    -0.064   460.552
  338.47  -26.00      7.964    -0.030   456.517
  338.47  -25.00      7.966     0.013   456.715
  338.47  -24.00      7.983     0.046   458.650
  338.47  -23.00      8.004     0.072   461.112
  338.47  -22.00      8.029     0.093   464.008
  338.47  -21.00      8.053     0.114   466.687
  338.47  -20.00      8.079     0.130   469.705
  338.47  -19.00      8.106     0.145   472.954
  338.47  -18.00      8.134     0.151   476.205
  338.47  -17.00      8.153     0.155   478.415
  338.47  -16.00      8.154     0.126   478.498
  338.47  -15.00      8.129     0.061   475.529
  338.47  -14.00      8.073    -0.058   469.021
  338.47  -13.00      7.981    -0.238   458.413
  338.47  -12.00      7.853    -0.465   284.978
  338.47  -11.00      7.695    -0.702   120.270
  338.47  -10.00      7.514    -0.926    65.867
  338.47   -9.00      7.315    -1.148    40.618
  338.47   -8.00      7.108    -1.385    26.331
  338.47   -7.00      6.911    -1.616    18.284
  338.47   -6.00      6.730    -1.852    13.199
  338.47   -5.00      6.586    -2.097     9.866
  338.47   -4.00      6.487    -2.159     9.023
  338.47   -3.00      6.434    -2.031    10.037
  338.47   -2.00      6.420    -1.706    14.169
  338.47   -1.00      6.431    -1.266    25.792
  338.47    0.00      6.457    -1.073    36.225
  338.47    1.00      6.494    -1.618    16.119
  338.47    2.00      6.545    -2.036    10.338
  338.47    3.00      6.616    -2.239     7.955
  338.47    4.00      6.708    -2.150     9.737
  338.47    5.00      6.821    -1.979    11.876
  338.47    6.00      6.950    -1.660    17.535
  338.47    7.00      7.087    -1.339    28.000
  338.47    8.00      7.225    -0.985    53.849
  338.47    9.00      7.351    -0.632   135.191
  338.47   10.00      7.459    -0.278   400.394
  338.47   11.00      7.534     0.025   408.557
  338.47   12.00      7.569     0.239   412.302
  338.47   13.00      7.563     0.350   411.630
  338.47   14.00      7.516     0.417   325.454
  338.47   15.00      7.438     0.437   289.606
  338.47   16.00      7.350     0.414   315.442
  338.47   17.00      7.263     0.381   363.144
  338.47   18.00      7.187     0.308   371.702
  338.47   19.00      7.130     0.240   365.865
  338.47   20.00      7.085     0.195   361.276
  338.47   21.00      7.052     0.176   357.906
  338.47   22.00      7.035     0.173   356.193
  338.47   23.00      7.029     0.168   355.577
  338.47   24.00      7.024     0.146   355.039
  338.47   25.00      7.015     0.105   354.180
  338.47   26.00      7.007     0.065   353.327
  338.47   27.00      7.017     0.037   354.369
  338.47   28.00      7.043     0.036   356.972
  338.47   29.00      7.076     0.053   360.370
  338.47   30.00      7.108     0.081   363.611
  338.47   31.00      7.121     0.116   364.915
  338.47   32.00      7.106     0.140   363.401
  338.47   33.00      7.068     0.144   359.538
  338.47   34.00      7.013     0.125   354.002
  338.47   35.00      6.952     0.090   347.855
  338.47   36.00      6.889     0.044   341.562
  338.47   37.00      6.825    -0.015   335.233
  338.47   38.00      6.759    -0.078   328.775
  338.47   39.00      6.703    -0.135   323.367
  338.47   40.00      6.685    -0.172   321.623
  338.47   41.00      6.712    -0.175   324.209
  338.47   42.00      6.772    -0.147   330.043
  338.47   43.00      6.835    -0.106   336.242
  338.47   44.00      6.867    -0.064   339.423
  338.47   45.00      6.863    -0.031   339.015
  338.47   46.00      6.835    -0.011   336.215
  338.47   47.00      6.797     0.010   332.498
  338.47   48.00      6.761     0.019   329.005
  338.47   49.00      6.727     0.022   325.666
  338.47   50.00      6.689     0.019   322.045
  338.47   51.00      6.649     0.017   318.194
  338.47   52.00      6.621     0.011   315.506
  338.47   53.00      6.626    -0.004   316.007
  338.47   54.00      6.666    -0.024   319.776
  338.47   55.00      6.722    -0.038   325.217
  338.47   56.00      6.769    -0.042   329.749
  338.47   57.00      6.788    -0.040   331.613
  338.47   58.00      6.786    -0.036   331.426
  338.47   59.00      6.783    -0.030   331.085
  338.47   60.00      6.797    -0.019   332.506
  338.47   61.00      6.843    -0.004   336.967
  338.47   62.00      6.923     0.009   344.933
  338.47   63.00      7.026     0.017   355.273
  338.47   64.00      7.105     0.018   363.343
  338.47   65.00      7.120     0.013   364.883
  338.47   66.00      7.083     0.009   361.022
  338.47   67.00      7.008     0.003   353.491
  338.47   68.00      6.930    -0.002   345.637
  338.47   69.00      6.885    -0.000   341.172
  338.47   70.00      6.869     0.004   339.576
  338.47   71.00      6.882     0.011   340.866
  338.47   72.00      6.924     0.018   345.077
  338.47   73.00      7.004     0.019   353.089
  338.47   74.00      7.121     0.013   364.982
  338.47   75.00      7.260     0.005   379.330
  338.47   76.00      7.390     0.005   393.076
  338.47   77.00      7.480     0.015   402.676
  338.47   78.00      7.511     0.022   406.006
  338.47   79.00      7.491     0.027   403.880
  338.47   80.00      7.443     0.032   398.670
  338.47   81.00      7.383     0.029   392.251
  338.47   82.00      7.339     0.017   387.641
  338.47   83.00      7.336    -0.001   387.314
  338.47   84.00      7.380    -0.014   391.986
  338.47   85.00      7.402    -0.020   394.326
  338.47   86.00      7.439    -0.019   398.278
  338.47   87.00      7.488    -0.012   403.549
  338.47   88.00      7.517     0.001   406.718
  338.47   89.00      7.613    -0.002   417.139
  338.47   90.00      7.713    -0.000   428.196

Pressure level 295.5954 mbar
pressure latitude       N       dUdz       Ri
  295.60  -90.00     10.316    -0.093   765.839
  295.60  -89.00     10.366    -0.093   773.404
  295.60  -88.00     10.415    -0.047   780.618
  295.60  -87.00     10.406    -0.026   779.314
  295.60  -86.00     10.415    -0.022   780.724
  295.60  -85.00     10.416    -0.022   780.792
  295.60  -84.00     10.414    -0.023   780.560
  295.60  -83.00     10.412    -0.028   780.266
  295.60  -82.00     10.408    -0.031   779.689
  295.60  -81.00     10.410    -0.029   779.885
  295.60  -80.00     10.414    -0.023   780.602
  295.60  -79.00     10.430    -0.012   782.988
  295.60  -78.00     10.453     0.005   786.353
  295.60  -77.00     10.461     0.022   787.638
  295.60  -76.00     10.453     0.038   786.389
  295.60  -75.00     10.427     0.049   782.453
  295.60  -74.00     10.398     0.048   778.159
  295.60  -73.00     10.360     0.034   772.522
  295.60  -72.00     10.319     0.028   766.346
  295.60  -71.00     10.271     0.030   759.240
  295.60  -70.00     10.213     0.034   750.623
  295.60  -69.00     10.158     0.041   742.631
  295.60  -68.00     10.118     0.043   736.782
  295.60  -67.00     10.094     0.037   733.284
  295.60  -66.00     10.085     0.029   731.982
  295.60  -65.00     10.080     0.020   731.319
  295.60  -64.00     10.075     0.017   730.516
  295.60  -63.00     10.065     0.024   729.041
  295.60  -62.00     10.046     0.038   726.359
  295.60  -61.00     10.024     0.047   723.229
  295.60  -60.00     10.013     0.048   721.618
  295.60  -59.00      9.999     0.044   719.614
  295.60  -58.00      9.971     0.033   715.564
  295.60  -57.00      9.911     0.017   707.019
  295.60  -56.00      9.814     0.000   693.196
  295.60  -55.00      9.690    -0.001   675.784
  295.60  -54.00      9.564     0.014   658.326
  295.60  -53.00      9.457     0.038   643.690
  295.60  -52.00      9.380     0.064   633.248
  295.60  -51.00      9.331     0.094   626.569
  295.60  -50.00      9.319     0.128   624.994
  295.60  -49.00      9.329     0.142   626.355
  295.60  -48.00      9.351     0.124   629.280
  295.60  -47.00      9.361     0.076   630.671
  295.60  -46.00      9.341     0.017   628.020
  295.60  -45.00      9.285    -0.042   620.512
  295.60  -44.00      9.202    -0.090   609.367
  295.60  -43.00      9.105    -0.113   596.673
  295.60  -42.00      9.000    -0.106   582.975
  295.60  -41.00      8.892    -0.071   569.104
  295.60  -40.00      8.799    -0.012   557.247
  295.60  -39.00      8.741     0.038   549.831
  295.60  -38.00      8.713     0.058   546.351
  295.60  -37.00      8.703     0.055   545.137
  295.60  -36.00      8.714     0.058   546.531
  295.60  -35.00      8.735     0.074   549.087
  295.60  -34.00      8.751     0.091   551.181
  295.60  -33.00      8.753     0.094   551.402
  295.60  -32.00      8.726     0.074   547.988
  295.60  -31.00      8.663     0.031   540.085
  295.60  -30.00      8.586    -0.023   530.507
  295.60  -29.00      8.500    -0.065   519.984
  295.60  -28.00      8.415    -0.086   509.591
  295.60  -27.00      8.346    -0.073   501.287
  295.60  -26.00      8.305    -0.020   496.415
  295.60  -25.00      8.301     0.041   495.932
  295.60  -24.00      8.317     0.082   497.874
  295.60  -23.00      8.343     0.114   500.984
  295.60  -22.00      8.375     0.139   504.817
  295.60  -21.00      8.410     0.162   509.007
  295.60  -20.00      8.447     0.183   513.468
  295.60  -19.00      8.487     0.204   518.375
  295.60  -18.00      8.535     0.209   524.250
  295.60  -17.00      8.583     0.198   530.170
  295.60  -16.00      8.618     0.141   534.515
  295.60  -15.00      8.628     0.038   535.799
  295.60  -14.00      8.611    -0.139   533.599
  295.60  -13.00      8.561    -0.388   487.400
  295.60  -12.00      8.480    -0.678   156.284
  295.60  -11.00      8.370    -0.964    75.374
  295.60  -10.00      8.232    -1.221    45.437
  295.60   -9.00      8.077    -1.469    30.229
  295.60   -8.00      7.917    -1.729    20.962
  295.60   -7.00      7.781    -1.967    15.654
  295.60   -6.00      7.671    -2.178    12.401
  295.60   -5.00      7.603    -2.239    10.628
  295.60   -4.00      7.574    -2.239    11.317
  295.60   -3.00      7.576    -1.975    14.706
  295.60   -2.00      7.592    -1.515    25.098
  295.60   -1.00      7.607    -1.031    54.425
  295.60    0.00      7.613    -0.962    62.607
  295.60    1.00      7.610    -1.605    22.468
  295.60    2.00      7.604    -2.103    13.073
  295.60    3.00      7.605    -2.239     8.861
  295.60    4.00      7.620    -2.239     9.723
  295.60    5.00      7.655    -2.239    11.111
  295.60    6.00      7.710    -1.992    14.979
  295.60    7.00      7.788    -1.633    22.744
  295.60    8.00      7.883    -1.223    41.554
  295.60    9.00      7.982    -0.804    98.648
  295.60   10.00      8.075    -0.383   445.183
  295.60   11.00      8.146    -0.028   477.635
  295.60   12.00      8.177     0.237   481.270
  295.60   13.00      8.170     0.402   413.349
  295.60   14.00      8.128     0.511   252.861
  295.60   15.00      8.055     0.557   209.351
  295.60   16.00      7.974     0.540   218.321
  295.60   17.00      7.891     0.498   251.369
  295.60   18.00      7.819     0.406   371.041
  295.60   19.00      7.765     0.315   433.896
  295.60   20.00      7.725     0.248   429.544
  295.60   21.00      7.701     0.212   426.823
  295.60   22.00      7.693     0.199   425.983
  295.60   23.00      7.696     0.189   426.309
  295.60   24.00      7.696     0.165   426.286
  295.60   25.00      7.691     0.123   425.711
  295.60   26.00      7.688     0.075   425.377
  295.60   27.00      7.703     0.037   427.067
  295.60   28.00      7.735     0.028   430.576
  295.60   29.00      7.778     0.044   435.419
  295.60   30.00      7.824     0.078   440.534
  295.60   31.00      7.854     0.126   444.008
  295.60   32.00      7.858     0.165   444.390
  295.60   33.00      7.835     0.182   441.781
  295.60   34.00      7.794     0.175   437.203
  295.60   35.00      7.746     0.145   431.873
  295.60   36.00      7.696     0.099   426.271
  295.60   37.00      7.646     0.035   420.737
  295.60   38.00      7.590    -0.038   414.663
  295.60   39.00      7.542    -0.111   409.363
  295.60   40.00      7.524    -0.165   407.417
  295.60   41.00      7.548    -0.182   410.036
  295.60   42.00      7.612    -0.160   417.018
  295.60   43.00      7.685    -0.109   425.022
  295.60   44.00      7.730    -0.053   430.097
  295.60   45.00      7.742    -0.007   431.360
  295.60   46.00      7.726     0.019   429.575
  295.60   47.00      7.695     0.039   426.106
  295.60   48.00      7.663     0.044   422.582
  295.60   49.00      7.631     0.042   419.064
  295.60   50.00      7.598     0.036   415.466
  295.60   51.00      7.570     0.034   412.465
  295.60   52.00      7.557     0.025   411.058
  295.60   53.00      7.577     0.005   413.243
  295.60   54.00      7.632    -0.019   419.226
  295.60   55.00      7.700    -0.034   426.716
  295.60   56.00      7.758    -0.040   433.218
  295.60   57.00      7.796    -0.040   437.365
  295.60   58.00      7.821    -0.039   440.273
  295.60   59.00      7.863    -0.036   444.918
  295.60   60.00      7.934    -0.027   453.086
  295.60   61.00      8.030    -0.014   464.126
  295.60   62.00      8.136    -0.006   476.367
  295.60   63.00      8.230    -0.003   487.466
  295.60   64.00      8.273    -0.003   492.605
  295.60   65.00      8.237    -0.001   488.352
  295.60   66.00      8.148     0.005   477.823
  295.60   67.00      8.032     0.006   464.348
  295.60   68.00      7.929     0.007   452.510
  295.60   69.00      7.872     0.010   445.968
  295.60   70.00      7.854     0.012   443.969
  295.60   71.00      7.864     0.014   445.103
  295.60   72.00      7.892     0.012   448.283
  295.60   73.00      7.946     0.003   454.403
  295.60   74.00      8.035    -0.011   464.598
  295.60   75.00      8.151    -0.021   478.199
  295.60   76.00      8.270    -0.015   492.241
  295.60   77.00      8.360     0.005   503.046
  295.60   78.00      8.404     0.024   508.274
  295.60   79.00      8.402     0.038   508.079
  295.60   80.00      8.376     0.046   504.921
  295.60   81.00      8.340     0.040   500.614
  295.60   82.00      8.311     0.018   497.104
  295.60   83.00      8.313    -0.012   497.343
  295.60   84.00      8.364    -0.035   503.481
  295.60   85.00      8.388    -0.047   506.396
  295.60   86.00      8.428    -0.049   511.199
  295.60   87.00      8.479    -0.042   517.397
  295.60   88.00      8.518    -0.034   522.163
  295.60   89.00      8.601    -0.035   532.457
  295.60   90.00      8.686    -0.002   543.055

Pressure level 258.1457 mbar
pressure latitude       N       dUdz       Ri
  258.15  -90.00     11.020    -0.059   873.956
  258.15  -89.00     11.040    -0.059   877.241
  258.15  -88.00     11.064    -0.030   881.081
  258.15  -87.00     11.057    -0.022   879.887
  258.15  -86.00     11.056    -0.023   879.793
  258.15  -85.00     11.049    -0.024   878.687
  258.15  -84.00     11.043    -0.023   877.648
  258.15  -83.00     11.039    -0.021   877.033
  258.15  -82.00     11.039    -0.019   877.028
  258.15  -81.00     11.055    -0.017   879.551
  258.15  -80.00     11.080    -0.012   883.527
  258.15  -79.00     11.106    -0.004   887.661
  258.15  -78.00     11.121     0.008   890.033
  258.15  -77.00     11.117     0.019   889.393
  258.15  -76.00     11.083     0.030   884.015
  258.15  -75.00     11.021     0.037   874.110
  258.15  -74.00     10.947     0.037   862.542
  258.15  -73.00     10.873     0.031   850.928
  258.15  -72.00     10.805     0.028   840.170
  258.15  -71.00     10.744     0.027   830.708
  258.15  -70.00     10.684     0.025   821.536
  258.15  -69.00     10.633     0.029   813.776
  258.15  -68.00     10.592     0.034   807.492
  258.15  -67.00     10.556     0.038   802.017
  258.15  -66.00     10.527     0.039   797.537
  258.15  -65.00     10.503     0.036   793.929
  258.15  -64.00     10.485     0.035   791.176
  258.15  -63.00     10.469     0.041   788.756
  258.15  -62.00     10.448     0.051   785.670
  258.15  -61.00     10.424     0.060   782.081
  258.15  -60.00     10.405     0.061   779.233
  258.15  -59.00     10.382     0.053   775.751
  258.15  -58.00     10.339     0.036   769.316
  258.15  -57.00     10.263     0.010   758.054
  258.15  -56.00     10.152    -0.016   741.727
  258.15  -55.00     10.022    -0.024   722.808
  258.15  -54.00      9.896    -0.012   704.818
  258.15  -53.00      9.791     0.014   689.874
  258.15  -52.00      9.714     0.050   679.129
  258.15  -51.00      9.667     0.097   672.620
  258.15  -50.00      9.648     0.147   669.915
  258.15  -49.00      9.646     0.176   669.660
  258.15  -48.00      9.648     0.165   669.898
  258.15  -47.00      9.636     0.111   668.317
  258.15  -46.00      9.606     0.034   664.081
  258.15  -45.00      9.551    -0.045   656.587
  258.15  -44.00      9.482    -0.111   647.097
  258.15  -43.00      9.412    -0.148   637.501
  258.15  -42.00      9.335    -0.148   627.180
  258.15  -41.00      9.252    -0.110   616.113
  258.15  -40.00      9.174    -0.038   605.774
  258.15  -39.00      9.108     0.033   597.065
  258.15  -38.00      9.052     0.070   589.779
  258.15  -37.00      9.008     0.079   583.951
  258.15  -36.00      8.982     0.091   580.570
  258.15  -35.00      8.968     0.106   578.829
  258.15  -34.00      8.951     0.114   576.681
  258.15  -33.00      8.917     0.103   572.298
  258.15  -32.00      8.860     0.066   565.027
  258.15  -31.00      8.784     0.011   555.323
  258.15  -30.00      8.705    -0.046   545.394
  258.15  -29.00      8.630    -0.087   536.063
  258.15  -28.00      8.563    -0.103   527.756
  258.15  -27.00      8.510    -0.077   521.232
  258.15  -26.00      8.474    -0.005   516.850
  258.15  -25.00      8.463     0.073   515.412
  258.15  -24.00      8.470     0.126   516.312
  258.15  -23.00      8.488     0.165   518.555
  258.15  -22.00      8.514     0.196   521.753
  258.15  -21.00      8.548     0.225   525.895
  258.15  -20.00      8.584     0.255   530.257
  258.15  -19.00      8.625     0.287   535.425
  258.15  -18.00      8.680     0.299   542.269
  258.15  -17.00      8.743     0.277   550.205
  258.15  -16.00      8.802     0.190   557.587
  258.15  -15.00      8.842     0.045   562.635
  258.15  -14.00      8.861    -0.187   565.046
  258.15  -13.00      8.857    -0.498   316.458
  258.15  -12.00      8.831    -0.848   108.379
  258.15  -11.00      8.777    -1.187    54.637
  258.15  -10.00      8.696    -1.485    34.281
  258.15   -9.00      8.600    -1.762    23.812
  258.15   -8.00      8.507    -2.035    17.467
  258.15   -7.00      8.442    -2.239    14.010
  258.15   -6.00      8.409    -2.239    12.167
  258.15   -5.00      8.415    -2.239    12.246
  258.15   -4.00      8.448    -2.125    15.804
  258.15   -3.00      8.491    -1.660    26.174
  258.15   -2.00      8.530    -1.036    67.745
  258.15   -1.00      8.548    -0.539   251.832
  258.15    0.00      8.539    -0.664   165.193
  258.15    1.00      8.503    -1.296    43.078
  258.15    2.00      8.447    -1.864    20.535
  258.15    3.00      8.382    -2.239    11.470
  258.15    4.00      8.317    -2.239    10.825
  258.15    5.00      8.266    -2.239    11.586
  258.15    6.00      8.238    -2.206    13.949
  258.15    7.00      8.241    -1.844    19.971
  258.15    8.00      8.273    -1.411    34.391
  258.15    9.00      8.323    -0.947    77.187
  258.15   10.00      8.381    -0.477   308.564
  258.15   11.00      8.432    -0.078   511.695
  258.15   12.00      8.456     0.239   514.615
  258.15   13.00      8.456     0.463   333.856
  258.15   14.00      8.435     0.616   187.737
  258.15   15.00      8.391     0.684   150.615
  258.15   16.00      8.338     0.668   156.016
  258.15   17.00      8.282     0.610   184.251
  258.15   18.00      8.232     0.497   273.864
  258.15   19.00      8.192     0.387   448.420
  258.15   20.00      8.169     0.302   480.305
  258.15   21.00      8.162     0.252   479.496
  258.15   22.00      8.169     0.228   480.333
  258.15   23.00      8.185     0.211   482.130
  258.15   24.00      8.193     0.182   483.133
  258.15   25.00      8.195     0.136   483.346
  258.15   26.00      8.200     0.083   483.988
  258.15   27.00      8.219     0.036   486.155
  258.15   28.00      8.249     0.019   489.704
  258.15   29.00      8.289     0.031   494.489
  258.15   30.00      8.332     0.071   499.656
  258.15   31.00      8.366     0.132   503.717
  258.15   32.00      8.380     0.186   505.381
  258.15   33.00      8.372     0.218   504.463
  258.15   34.00      8.350     0.222   501.809
  258.15   35.00      8.321     0.198   498.339
  258.15   36.00      8.290     0.152   494.607
  258.15   37.00      8.260     0.083   491.072
  258.15   38.00      8.227     0.001   487.120
  258.15   39.00      8.199    -0.087   483.820
  258.15   40.00      8.188    -0.159   482.513
  258.15   41.00      8.203    -0.191   484.335
  258.15   42.00      8.251    -0.174   489.957
  258.15   43.00      8.308    -0.112   496.776
  258.15   44.00      8.348    -0.037   501.603
  258.15   45.00      8.364     0.022   503.466
  258.15   46.00      8.355     0.052   502.378
  258.15   47.00      8.329     0.071   499.269
  258.15   48.00      8.301     0.071   495.978
  258.15   49.00      8.276     0.064   492.887
  258.15   50.00      8.256     0.054   490.508
  258.15   51.00      8.250     0.048   489.879
  258.15   52.00      8.259     0.035   490.895
  258.15   53.00      8.290     0.009   494.657
  258.15   54.00      8.348    -0.019   501.524
  258.15   55.00      8.414    -0.035   509.516
  258.15   56.00      8.478    -0.040   517.339
  258.15   57.00      8.537    -0.042   524.523
  258.15   58.00      8.597    -0.043   531.936
  258.15   59.00      8.681    -0.043   542.426
  258.15   60.00      8.793    -0.038   556.397
  258.15   61.00      8.907    -0.029   570.915
  258.15   62.00      8.998    -0.025   582.752
  258.15   63.00      9.055    -0.023   590.072
  258.15   64.00      9.058    -0.015   590.460
  258.15   65.00      8.996    -0.001   582.419
  258.15   66.00      8.895     0.018   569.492
  258.15   67.00      8.783     0.027   555.236
  258.15   68.00      8.690     0.031   543.555
  258.15   69.00      8.641     0.029   537.397
  258.15   70.00      8.631     0.025   536.177
  258.15   71.00      8.641     0.018   537.438
  258.15   72.00      8.656     0.007   539.264
  258.15   73.00      8.680    -0.012   542.267
  258.15   74.00      8.728    -0.035   548.235
  258.15   75.00      8.801    -0.048   557.519
  258.15   76.00      8.885    -0.037   568.158
  258.15   77.00      8.957    -0.007   577.388
  258.15   78.00      9.002     0.022   583.176
  258.15   79.00      9.015     0.044   584.865
  258.15   80.00      9.011     0.054   584.334
  258.15   81.00      8.999     0.044   582.873
  258.15   82.00      8.986     0.014   581.209
  258.15   83.00      8.993    -0.025   582.007
  258.15   84.00      9.039    -0.056   588.016
  258.15   85.00      9.058    -0.076   590.561
  258.15   86.00      9.088    -0.083   594.451
  258.15   87.00      9.123    -0.079   599.000
  258.15   88.00      9.160    -0.084   603.894
  258.15   89.00      9.195    -0.079   608.519
  258.15   90.00      9.228    -0.003   612.865

Pressure level 225.4481 mbar
pressure latitude       N       dUdz       Ri
  225.45  -90.00     11.484    -0.030   949.160
  225.45  -89.00     11.438    -0.030   941.639
  225.45  -88.00     11.409    -0.015   936.806
  225.45  -87.00     11.412    -0.029   937.302
  225.45  -86.00     11.398    -0.037   935.061
  225.45  -85.00     11.387    -0.042   933.237
  225.45  -84.00     11.379    -0.033   931.851
  225.45  -83.00     11.374    -0.018   931.101
  225.45  -82.00     11.367    -0.005   929.981
  225.45  -81.00     11.377     0.001   931.492
  225.45  -80.00     11.396     0.005   934.723
  225.45  -79.00     11.406     0.010   936.384
  225.45  -78.00     11.396     0.012   934.630
  225.45  -77.00     11.374     0.015   931.030
  225.45  -76.00     11.328     0.018   923.540
  225.45  -75.00     11.257     0.019   912.021
  225.45  -74.00     11.176     0.018   898.981
  225.45  -73.00     11.103     0.019   887.192
  225.45  -72.00     11.034     0.019   876.238
  225.45  -71.00     10.987     0.016   868.784
  225.45  -70.00     10.947     0.009   862.504
  225.45  -69.00     10.914     0.011   857.232
  225.45  -68.00     10.877     0.022   851.406
  225.45  -67.00     10.830     0.035   844.063
  225.45  -66.00     10.778     0.046   836.065
  225.45  -65.00     10.734     0.050   829.253
  225.45  -64.00     10.703     0.053   824.384
  225.45  -63.00     10.679     0.059   820.821
  225.45  -62.00     10.653     0.067   816.725
  225.45  -61.00     10.615     0.075   810.933
  225.45  -60.00     10.571     0.074   804.306
  225.45  -59.00     10.525     0.058   797.191
  225.45  -58.00     10.466     0.031   788.325
  225.45  -57.00     10.392    -0.006   777.225
  225.45  -56.00     10.304    -0.041   764.162
  225.45  -55.00     10.212    -0.052   750.568
  225.45  -54.00     10.123    -0.037   737.471
  225.45  -53.00     10.038    -0.008   725.218
  225.45  -52.00      9.967     0.037   714.920
  225.45  -51.00      9.912     0.097   707.126
  225.45  -50.00      9.863     0.158   700.151
  225.45  -49.00      9.818     0.196   693.762
  225.45  -48.00      9.766     0.188   686.480
  225.45  -47.00      9.706     0.132   678.017
  225.45  -46.00      9.647     0.048   669.778
  225.45  -45.00      9.591    -0.042   661.991
  225.45  -44.00      9.544    -0.119   655.531
  225.45  -43.00      9.513    -0.163   651.373
  225.45  -42.00      9.486    -0.168   647.662
  225.45  -41.00      9.452    -0.132   643.014
  225.45  -40.00      9.410    -0.057   637.255
  225.45  -39.00      9.348     0.023   628.862
  225.45  -38.00      9.267     0.070   618.117
  225.45  -37.00      9.187     0.090   607.446
  225.45  -36.00      9.117     0.111   598.199
  225.45  -35.00      9.058     0.123   590.488
  225.45  -34.00      8.995     0.119   582.371
  225.45  -33.00      8.916     0.095   572.089
  225.45  -32.00      8.827     0.047   560.823
  225.45  -31.00      8.746    -0.014   550.566
  225.45  -30.00      8.680    -0.068   542.266
  225.45  -29.00      8.633    -0.102   536.408
  225.45  -28.00      8.604    -0.109   532.814
  225.45  -27.00      8.585    -0.072   530.448
  225.45  -26.00      8.566     0.013   528.047
  225.45  -25.00      8.545     0.104   525.552
  225.45  -24.00      8.534     0.167   524.149
  225.45  -23.00      8.530     0.213   523.667
  225.45  -22.00      8.534     0.251   524.200
  225.45  -21.00      8.549     0.288   526.016
  225.45  -20.00      8.566     0.329   528.135
  225.45  -19.00      8.594     0.375   525.441
  225.45  -18.00      8.635     0.400   466.116
  225.45  -17.00      8.689     0.375   536.635
  225.45  -16.00      8.746     0.262   550.536
  225.45  -15.00      8.794     0.078   556.575
  225.45  -14.00      8.833    -0.194   561.508
  225.45  -13.00      8.865    -0.545   265.036
  225.45  -12.00      8.888    -0.940    89.338
  225.45  -11.00      8.893    -1.329    44.798
  225.45  -10.00      8.880    -1.669    28.312
  225.45   -9.00      8.862    -1.974    20.163
  225.45   -8.00      8.854    -2.239    15.553
  225.45   -7.00      8.874    -2.239    13.368
  225.45   -6.00      8.920    -2.239    12.681
  225.45   -5.00      8.992    -2.239    15.118
  225.45   -4.00      9.073    -1.835    24.438
  225.45   -3.00      9.146    -1.196    58.477
  225.45   -2.00      9.198    -0.430   457.767
  225.45   -1.00      9.218     0.054   611.505
  225.45    0.00      9.201    -0.261   491.968
  225.45    1.00      9.145    -0.767   372.432
  225.45    2.00      9.056    -1.369   252.895
  225.45    3.00      8.940    -2.114   133.358
  225.45    4.00      8.810    -2.239    13.821
  225.45    5.00      8.682    -2.239    13.848
  225.45    6.00      8.570    -2.238    14.669
  225.45    7.00      8.488    -1.912    19.714
  225.45    8.00      8.440    -1.494    31.916
  225.45    9.00      8.418    -1.021    68.042
  225.45   10.00      8.419    -0.531   251.159
  225.45   11.00      8.435    -0.107   512.079
  225.45   12.00      8.454     0.247   514.416
  225.45   13.00      8.477     0.515   270.929
  225.45   14.00      8.501     0.702   146.829
  225.45   15.00      8.517     0.786   117.374
  225.45   16.00      8.523     0.768   123.297
  225.45   17.00      8.522     0.693   151.018
  225.45   18.00      8.514     0.563   228.853
  225.45   19.00      8.502     0.441   371.379
  225.45   20.00      8.502     0.349   520.260
  225.45   21.00      8.516     0.292   521.921
  225.45   22.00      8.539     0.262   524.766
  225.45   23.00      8.570     0.236   528.529
  225.45   24.00      8.593     0.199   531.426
  225.45   25.00      8.609     0.148   533.392
  225.45   26.00      8.627     0.090   535.628
  225.45   27.00      8.646     0.038   538.047
  225.45   28.00      8.667     0.016   540.629
  225.45   29.00      8.692     0.025   543.692
